FamilyName,CampName,FamilyCaseID,FamilyNumber,Active,Balance,Note
N/A,Mahmoodly camp,MHD000001,3,yes,"[[""Kerosene"",550]]",this is new family
N/A,Mahmoodly camp,MHD000002A,8,yes,"[[""Kerosene"",550]]",
N/A,Mahmoodly camp,MHD000002B,8,yes,"[[""Kerosene"",550]]",
N/A,Mahmoodly camp,MHD000003A,8,yes,"[[""Kerosene"",550]]",
N/A,Mahmoodly camp,MHD000003B,8,yes,"[[""Kerosene"",550]]",
N/A,Mahmoodly camp,MHD000004A,9,yes,"[[""Kerosene"",550]]",
N/A,Mahmoodly camp,MHD000004B,9,yes,"[[""Kerosene"",550]]",
N/A,Mahmoodly camp,MHD000005,2,yes,"[[""Kerosene"",550]]",
N/A,Mahmoodly camp,MHD000006,4,yes,"[[""Kerosene"",550]]",
N/A,Mahmoodly camp,MHD000007,3,yes,"[[""Kerosene"",550]]",
N/A,Mahmoodly camp,MHD000008,3,yes,"[[""Kerosene"",550]]",
N/A,Mahmoodly camp,MHD000009,3,yes,"[[""Kerosene"",550]]",
N/A,Mahmoodly camp,MHD000010,2,yes,"[[""Kerosene"",550]]",
N/A,Mahmoodly camp,MHD000011A,9,yes,"[[""Kerosene"",550]]",
N/A,Mahmoodly camp,MHD000011B,9,yes,"[[""Kerosene"",550]]",
N/A,Mahmoodly camp,MHD000012A,8,yes,"[[""Kerosene"",550]]",
N/A,Mahmoodly camp,MHD000012B,8,yes,"[[""Kerosene"",550]]",
N/A,Mahmoodly camp,MHD000013,4,yes,"[[""Kerosene"",550]]",
N/A,Mahmoodly camp,MHD000014,3,yes,"[[""Kerosene"",550]]",
N/A,Mahmoodly camp,MHD000015A,8,yes,"[[""Kerosene"",550]]",
N/A,Mahmoodly camp,MHD000015B,8,yes,"[[""Kerosene"",550]]",
N/A,Mahmoodly camp,MHD000016,2,yes,"[[""Kerosene"",550]]",
N/A,Mahmoodly camp,MHD000017A,8,yes,"[[""Kerosene"",550]]",
N/A,Mahmoodly camp,MHD000017B,8,yes,"[[""Kerosene"",550]]",
N/A,Mahmoodly camp,MHD000018,2,yes,"[[""Kerosene"",550]]",
N/A,Mahmoodly camp,MHD000019A,8,yes,"[[""Kerosene"",550]]",
N/A,Mahmoodly camp,MHD000019B,8,yes,"[[""Kerosene"",550]]",
N/A,Mahmoodly camp,MHD000020A,9,yes,"[[""Kerosene"",550]]",
N/A,Mahmoodly camp,MHD000020B,9,yes,"[[""Kerosene"",550]]",
N/A,Mahmoodly camp,MHD000021,2,yes,"[[""Kerosene"",550]]",
N/A,Mahmoodly camp,MHD000022A,9,yes,"[[""Kerosene"",550]]",
N/A,Mahmoodly camp,MHD000022B,9,yes,"[[""Kerosene"",550]]",
N/A,Mahmoodly camp,MHD000023A,12,yes,"[[""Kerosene"",550]]",
N/A,Mahmoodly camp,MHD000023B,12,yes,"[[""Kerosene"",550]]",
N/A,Mahmoodly camp,MHD000024,4,yes,"[[""Kerosene"",550]]",
N/A,Mahmoodly camp,MHD000025,4,yes,"[[""Kerosene"",550]]",
N/A,Mahmoodly camp,MHD000026A,8,yes,"[[""Kerosene"",550]]",
N/A,Mahmoodly camp,MHD000026B,8,yes,"[[""Kerosene"",550]]",
N/A,Mahmoodly camp,MHD000027,4,yes,"[[""Kerosene"",550]]",
N/A,Mahmoodly camp,MHD000028,4,yes,"[[""Kerosene"",550]]",
N/A,Mahmoodly camp,MHD000029,3,yes,"[[""Kerosene"",550]]",
N/A,Mahmoodly camp,MHD000030A,10,yes,"[[""Kerosene"",550]]",
N/A,Mahmoodly camp,MHD000030B,10,yes,"[[""Kerosene"",550]]",
N/A,Mahmoodly camp,MHD000031,5,yes,"[[""Kerosene"",550]]",
N/A,Mahmoodly camp,MHD000033,3,yes,"[[""Kerosene"",550]]",
N/A,Mahmoodly camp,MHD000034,4,yes,"[[""Kerosene"",550]]",
N/A,Mahmoodly camp,MHD000035A,8,yes,"[[""Kerosene"",550]]",
N/A,Mahmoodly camp,MHD000035B,8,yes,"[[""Kerosene"",550]]",
N/A,Mahmoodly camp,MHD000036A,8,yes,"[[""Kerosene"",550]]",
N/A,Mahmoodly camp,MHD000036B,8,yes,"[[""Kerosene"",550]]",
N/A,Mahmoodly camp,MHD000037,5,yes,"[[""Kerosene"",550]]",
N/A,Mahmoodly camp,MHD000038A,8,yes,"[[""Kerosene"",550]]",
N/A,Mahmoodly camp,MHD000038B,8,yes,"[[""Kerosene"",550]]",
N/A,Mahmoodly camp,MHD000039,5,yes,"[[""Kerosene"",550]]",
N/A,Mahmoodly camp,MHD000040,2,yes,"[[""Kerosene"",550]]",
N/A,Mahmoodly camp,MHD000041A,8,yes,"[[""Kerosene"",550]]",
N/A,Mahmoodly camp,MHD000041B,8,yes,"[[""Kerosene"",550]]",
N/A,Mahmoodly camp,MHD000042,3,yes,"[[""Kerosene"",550]]",
N/A,Mahmoodly camp,MHD000043,2,yes,"[[""Kerosene"",550]]",
N/A,Mahmoodly camp,MHD000044,2,yes,"[[""Kerosene"",550]]",
N/A,Mahmoodly camp,MHD000045,2,yes,"[[""Kerosene"",550]]",
N/A,Mahmoodly camp,MHD000046A,8,yes,"[[""Kerosene"",550]]",
N/A,Mahmoodly camp,MHD000046B,8,yes,"[[""Kerosene"",550]]",
N/A,Mahmoodly camp,MHD000047,6,yes,"[[""Kerosene"",550]]",
N/A,Mahmoodly camp,MHD000048,4,yes,"[[""Kerosene"",550]]",
N/A,Mahmoodly camp,MHD000049,3,yes,"[[""Kerosene"",550]]",
N/A,Mahmoodly camp,MHD000050,3,yes,"[[""Kerosene"",550]]",
N/A,Mahmoodly camp,MHD000051,2,yes,"[[""Kerosene"",550]]",
N/A,Mahmoodly camp,MHD000053,3,yes,"[[""Kerosene"",550]]",
N/A,Mahmoodly camp,MHD000054A,8,yes,"[[""Kerosene"",550]]",
N/A,Mahmoodly camp,MHD000054B,8,yes,"[[""Kerosene"",550]]",
N/A,Mahmoodly camp,MHD000055,6,yes,"[[""Kerosene"",550]]",
