FamilyName,CampName,FamilyCaseID,FamilyNumber,Active,Balance,Note
N/A,Al Hol Camp 05,Hol018821,1,yes,"[[""Kerosene"",300]]",this is new family
N/A,Al Hol Camp 05,Hol020039,1,yes,"[[""Kerosene"",300]]",
N/A,Al Hol Camp 05,Hol020372,1,yes,"[[""Kerosene"",300]]",
N/A,Al Hol Camp 05,Hol020834,1,yes,"[[""Kerosene"",300]]",
N/A,Al Hol Camp 05,Hol021875,1,yes,"[[""Kerosene"",300]]",
N/A,Al Hol Camp 05,Hol022169,1,yes,"[[""Kerosene"",300]]",
N/A,Al Hol Camp 05,Hol023405,1,yes,"[[""Kerosene"",300]]",
N/A,Al Hol Camp 05,Hol023434,1,yes,"[[""Kerosene"",300]]",
N/A,Al Hol Camp 05,Hol023444,1,yes,"[[""Kerosene"",300]]",
N/A,Al Hol Camp 05,Hol023453,1,yes,"[[""Kerosene"",300]]",
N/A,Al Hol Camp 05,Hol023454,1,yes,"[[""Kerosene"",300]]",
N/A,Al Hol Camp 05,hol023456,1,yes,"[[""Kerosene"",300]]",
N/A,Al Hol Camp 05,Hol023460,1,yes,"[[""Kerosene"",300]]",
N/A,Al Hol Camp 05,Hol023462,1,yes,"[[""Kerosene"",300]]",
N/A,Al Hol Camp 05,Hol023466,1,yes,"[[""Kerosene"",300]]",
N/A,Al Hol Camp 05,Hol023469,1,yes,"[[""Kerosene"",300]]",
N/A,Al Hol Camp 05,Hol023471,1,yes,"[[""Kerosene"",300]]",
N/A,Al Hol Camp 05,Hol023473,1,yes,"[[""Kerosene"",300]]",
N/A,Al Hol Camp 05,Hol023478,1,yes,"[[""Kerosene"",300]]",
N/A,Al Hol Camp 05,Hol023527,1,yes,"[[""Kerosene"",300]]",
N/A,Al Hol Camp 05,Hol024263,1,yes,"[[""Kerosene"",300]]",
N/A,Al Hol Camp 05,Hol024267,1,yes,"[[""Kerosene"",300]]",
N/A,Al Hol Camp 05,Hol024321,1,yes,"[[""Kerosene"",300]]",
N/A,Al Hol Camp 05,Hol024783,1,yes,"[[""Kerosene"",300]]",
N/A,Al Hol Camp 05,Hol025458,1,yes,"[[""Kerosene"",300]]",
N/A,Al Hol Camp 05,Hol025653,1,yes,"[[""Kerosene"",300]]",
N/A,Al Hol Camp 05,Hol026437,1,yes,"[[""Kerosene"",300]]",
N/A,Al Hol Camp 05,Hol026926,1,yes,"[[""Kerosene"",300]]",
N/A,Al Hol Camp 05,Hol027625,1,yes,"[[""Kerosene"",300]]",
N/A,Al Hol Camp 05,Hol028561,1,yes,"[[""Kerosene"",300]]",
