FamilyName,CampName,FamilyCaseID,FamilyNumber,Active,Balance,Note
N/A,Al Hol Camp 03,Hol018766,8,yes,"[[""Kerosene"",300]]",this is new family
N/A,Al Hol Camp 03,Hol018899A,10,yes,"[[""Kerosene"",300]]",
N/A,Al Hol Camp 03,Hol018899B,10,yes,"[[""Kerosene"",300]]",
N/A,Al Hol Camp 03,Hol020992A,12,yes,"[[""Kerosene"",300]]",
N/A,Al Hol Camp 03,Hol020992B,12,yes,"[[""Kerosene"",300]]",
N/A,Al Hol Camp 03,Hol026664A,10,yes,"[[""Kerosene"",300]]",
N/A,Al Hol Camp 03,Hol026664B,10,yes,"[[""Kerosene"",300]]",
N/A,Al Hol Camp 03,Hol019309,6,yes,"[[""Kerosene"",300]]",
N/A,Al Hol Camp 03,Hol018725,3,yes,"[[""Kerosene"",300]]",
N/A,Al Hol Camp 03,Hol019981,2,yes,"[[""Kerosene"",300]]",
N/A,Al Hol Camp 03,Hol019310,7,yes,"[[""Kerosene"",300]]",
N/A,Al Hol Camp 03,Hol020860,5,yes,"[[""Kerosene"",300]]",
N/A,Al Hol Camp 03,Hol020624,4,yes,"[[""Kerosene"",300]]",
N/A,Al Hol Camp 03,Hol020441,1,yes,"[[""Kerosene"",300]]",
N/A,Al Hol Camp 03,Hol019305,2,yes,"[[""Kerosene"",300]]",
N/A,Al Hol Camp 03,Hol020272,4,yes,"[[""Kerosene"",300]]",
N/A,Al Hol Camp 03,Hol010852,4,yes,"[[""Kerosene"",300]]",
N/A,Al Hol Camp 03,Hol029053,1,yes,"[[""Kerosene"",300]]",
N/A,Al Hol Camp 03,Hol021396,2,yes,"[[""Kerosene"",300]]",
N/A,Al Hol Camp 03,Hol039133,6,yes,"[[""Kerosene"",300]]",
N/A,Al Hol Camp 03,Hol015161,2,yes,"[[""Kerosene"",300]]",
N/A,Al Hol Camp 03,Hol019312,3,yes,"[[""Kerosene"",300]]",
N/A,Al Hol Camp 03,Hol013608,9,yes,"[[""Kerosene"",300]]",
N/A,Al Hol Camp 03,Hol017960,8,yes,"[[""Kerosene"",300]]",
N/A,Al Hol Camp 03,Hol013547,7,yes,"[[""Kerosene"",300]]",
N/A,Al Hol Camp 03,Hol017970,2,yes,"[[""Kerosene"",300]]",
N/A,Al Hol Camp 03,Hol018224,4,yes,"[[""Kerosene"",300]]",
N/A,Al Hol Camp 03,Hol014170,4,yes,"[[""Kerosene"",300]]",
N/A,Al Hol Camp 03,Hol020352,5,yes,"[[""Kerosene"",300]]",
N/A,Al Hol Camp 03,Hol014154,1,yes,"[[""Kerosene"",300]]",
N/A,Al Hol Camp 03,Hol014144,7,yes,"[[""Kerosene"",300]]",
N/A,Al Hol Camp 03,Hol018219,7,yes,"[[""Kerosene"",300]]",
N/A,Al Hol Camp 03,Hol018228,3,yes,"[[""Kerosene"",300]]",
N/A,Al Hol Camp 03,Hol020879,2,yes,"[[""Kerosene"",300]]",
N/A,Al Hol Camp 03,Hol022572,7,yes,"[[""Kerosene"",300]]",
N/A,Al Hol Camp 03,Hol019782,5,yes,"[[""Kerosene"",300]]",
N/A,Al Hol Camp 03,Hol013429,1,yes,"[[""Kerosene"",300]]",
N/A,Al Hol Camp 03,Hol020816,8,yes,"[[""Kerosene"",300]]",
N/A,Al Hol Camp 03,Hol021062A,10,yes,"[[""Kerosene"",300]]",
N/A,Al Hol Camp 03,Hol021062B,10,yes,"[[""Kerosene"",300]]",
N/A,Al Hol Camp 03,Hol016664,7,yes,"[[""Kerosene"",300]]",
