FamilyName,CampName,FamilyCaseID,FamilyNumber,Active,Balance,Note
N/A ,Al Hol Camp 04,Hol018833,5,yes,"[[""Kerosene"",300]]",this is new family
N/A ,Al Hol Camp 04,Hol018836,3,yes,"[[""Kerosene"",300]]",
N/A ,Al Hol Camp 04,Hol018844,5,yes,"[[""Kerosene"",300]]",
N/A ,Al Hol Camp 04,Hol018937,6,yes,"[[""Kerosene"",300]]",
N/A ,Al Hol Camp 04,Hol018876,6,yes,"[[""Kerosene"",300]]",
N/A ,Al Hol Camp 04,Hol020991,6,yes,"[[""Kerosene"",300]]",
N/A ,Al Hol Camp 04,Hol018859,6,yes,"[[""Kerosene"",300]]",
N/A ,Al Hol Camp 04,Hol018879,8,yes,"[[""Kerosene"",300]]",
N/A ,Al Hol Camp 04,Hol029179A,8,yes,"[[""Kerosene"",300]]",
N/A ,Al Hol Camp 04,Hol029179B,8,yes,"[[""Kerosene"",300]]",
N/A ,Al Hol Camp 04,Hol018877,6,yes,"[[""Kerosene"",300]]",
N/A ,Al Hol Camp 04,Hol028278,4,yes,"[[""Kerosene"",300]]",
N/A ,Al Hol Camp 04,Hol023970,1,yes,"[[""Kerosene"",300]]",
N/A ,Al Hol Camp 04,Hol024672,7,yes,"[[""Kerosene"",300]]",
N/A ,Al Hol Camp 04,Hol020990,1,yes,"[[""Kerosene"",300]]",
N/A ,Al Hol Camp 04,Hol024106,4,yes,"[[""Kerosene"",300]]",
N/A ,Al Hol Camp 04,Hol027875,3,yes,"[[""Kerosene"",300]]",
N/A ,Al Hol Camp 04,Hol024083,4,yes,"[[""Kerosene"",300]]",
N/A ,Al Hol Camp 04,Hol025860,5,yes,"[[""Kerosene"",300]]",
N/A ,Al Hol Camp 04,Hol020667,3,yes,"[[""Kerosene"",300]]",
N/A ,Al Hol Camp 04,Hol024622,3,yes,"[[""Kerosene"",300]]",
N/A ,Al Hol Camp 04,Hol023958,4,yes,"[[""Kerosene"",300]]",
N/A ,Al Hol Camp 04,Hol034528,4,yes,"[[""Kerosene"",300]]",
N/A ,Al Hol Camp 04,Hol025185,7,yes,"[[""Kerosene"",300]]",
N/A ,Al Hol Camp 04,Hol028283,3,yes,"[[""Kerosene"",300]]",
N/A ,Al Hol Camp 04,Hol033721,3,yes,"[[""Kerosene"",300]]",
N/A ,Al Hol Camp 04,hol025866,1,yes,"[[""Kerosene"",300]]",
N/A ,Al Hol Camp 04,Hol034073,3,yes,"[[""Kerosene"",300]]",
N/A ,Al Hol Camp 04,Hol034939,1,yes,"[[""Kerosene"",300]]",
N/A ,Al Hol Camp 04,Hol040711,7,yes,"[[""Kerosene"",300]]",
N/A ,Al Hol Camp 04,Hol033199,4,yes,"[[""Kerosene"",300]]",
N/A ,Al Hol Camp 04,Hol029965,2,yes,"[[""Kerosene"",300]]",
N/A ,Al Hol Camp 04,Hol018926,3,yes,"[[""Kerosene"",300]]",
N/A ,Al Hol Camp 04,Hol026944,4,yes,"[[""Kerosene"",300]]",
N/A ,Al Hol Camp 04,Hol025153A,8,yes,"[[""Kerosene"",300]]",
N/A ,Al Hol Camp 04,Hol025153B,8,yes,"[[""Kerosene"",300]]",
N/A ,Al Hol Camp 04,Hol026377,7,yes,"[[""Kerosene"",300]]",
N/A ,Al Hol Camp 04,Hol026283,3,yes,"[[""Kerosene"",300]]",
N/A ,Al Hol Camp 04,Hol025020,2,yes,"[[""Kerosene"",300]]",
N/A ,Al Hol Camp 04,Hol029542,4,yes,"[[""Kerosene"",300]]",
N/A ,Al Hol Camp 04,Hol025267,3,yes,"[[""Kerosene"",300]]",
N/A ,Al Hol Camp 04,Hol026306,5,yes,"[[""Kerosene"",300]]",
N/A ,Al Hol Camp 04,Hol026319,6,yes,"[[""Kerosene"",300]]",
N/A ,Al Hol Camp 04,Hol026308,6,yes,"[[""Kerosene"",300]]",
N/A ,Al Hol Camp 04,Hol024939,2,yes,"[[""Kerosene"",300]]",
N/A ,Al Hol Camp 04,Hol026457,3,yes,"[[""Kerosene"",300]]",
N/A ,Al Hol Camp 04,Hol026293,6,yes,"[[""Kerosene"",300]]",
N/A ,Al Hol Camp 04,Hol026303,3,yes,"[[""Kerosene"",300]]",
N/A ,Al Hol Camp 04,Hol024924,3,yes,"[[""Kerosene"",300]]",
N/A ,Al Hol Camp 04,Hol025316,4,yes,"[[""Kerosene"",300]]",
N/A ,Al Hol Camp 04,Hol025134,3,yes,"[[""Kerosene"",300]]",
N/A ,Al Hol Camp 04,Hol026532,2,yes,"[[""Kerosene"",300]]",
N/A ,Al Hol Camp 04,Hol027225,3,yes,"[[""Kerosene"",300]]",
N/A ,Al Hol Camp 04,Hol034044,4,yes,"[[""Kerosene"",300]]",
N/A ,Al Hol Camp 04,Hol029166,2,yes,"[[""Kerosene"",300]]",
N/A ,Al Hol Camp 04,hol028447,4,yes,"[[""Kerosene"",300]]",
N/A ,Al Hol Camp 04,Hol029598,3,yes,"[[""Kerosene"",300]]",
N/A ,Al Hol Camp 04,Hol033991,1,yes,"[[""Kerosene"",300]]",
N/A ,Al Hol Camp 04,Hol025049,2,yes,"[[""Kerosene"",300]]",
N/A ,Al Hol Camp 04,Hol033192,3,yes,"[[""Kerosene"",300]]",
N/A ,Al Hol Camp 04,Hol030532,2,yes,"[[""Kerosene"",300]]",
N/A ,Al Hol Camp 04,Hol030583,6,yes,"[[""Kerosene"",300]]",
N/A ,Al Hol Camp 04,Hol026313,2,yes,"[[""Kerosene"",300]]",
N/A ,Al Hol Camp 04,Hol035358,1,yes,"[[""Kerosene"",300]]",
N/A ,Al Hol Camp 04,Hol040185,2,yes,"[[""Kerosene"",300]]",
N/A ,Al Hol Camp 04,Hol030108,7,yes,"[[""Kerosene"",300]]",
N/A ,Al Hol Camp 04,Hol025156A,12,yes,"[[""Kerosene"",300]]",
N/A ,Al Hol Camp 04,Hol025156B,12,yes,"[[""Kerosene"",300]]",
N/A ,Al Hol Camp 04,Hol025326A,9,yes,"[[""Kerosene"",300]]",
N/A ,Al Hol Camp 04,Hol025326B,9,yes,"[[""Kerosene"",300]]",
N/A ,Al Hol Camp 04,Hol026553A,8,yes,"[[""Kerosene"",300]]",
N/A ,Al Hol Camp 04,Hol026553B,8,yes,"[[""Kerosene"",300]]",
N/A ,Al Hol Camp 04,Hol032847,8,yes,"[[""Kerosene"",300]]",
N/A ,Al Hol Camp 04,Hol025133,7,yes,"[[""Kerosene"",300]]",
N/A ,Al Hol Camp 04,Hol024943,3,yes,"[[""Kerosene"",300]]",
N/A ,Al Hol Camp 04,Hol028258,6,yes,"[[""Kerosene"",300]]",
N/A ,Al Hol Camp 04,Hol026013,5,yes,"[[""Kerosene"",300]]",
N/A ,Al Hol Camp 04,Hol028033,2,yes,"[[""Kerosene"",300]]",
N/A ,Al Hol Camp 04,Hol028048,3,yes,"[[""Kerosene"",300]]",
N/A ,Al Hol Camp 04,Hol025173,2,yes,"[[""Kerosene"",300]]",
N/A ,Al Hol Camp 04,Hol025164,4,yes,"[[""Kerosene"",300]]",
N/A ,Al Hol Camp 04,Hol025118,6,yes,"[[""Kerosene"",300]]",
N/A ,Al Hol Camp 04,Hol024088,2,yes,"[[""Kerosene"",300]]",
N/A ,Al Hol Camp 04,Hol028089,3,yes,"[[""Kerosene"",300]]",
N/A ,Al Hol Camp 04,Hol025157,2,yes,"[[""Kerosene"",300]]",
N/A ,Al Hol Camp 04,Hol028041,1,yes,"[[""Kerosene"",300]]",
N/A ,Al Hol Camp 04,Hol027605,2,yes,"[[""Kerosene"",300]]",
N/A ,Al Hol Camp 04,Hol025167,2,yes,"[[""Kerosene"",300]]",
N/A ,Al Hol Camp 04,Hol025169,4,yes,"[[""Kerosene"",300]]",
N/A ,Al Hol Camp 04,Hol025158,4,yes,"[[""Kerosene"",300]]",
N/A ,Al Hol Camp 04,Hol025046,6,yes,"[[""Kerosene"",300]]",
N/A ,Al Hol Camp 04,Hol028074,2,yes,"[[""Kerosene"",300]]",
N/A ,Al Hol Camp 04,Hol032865,4,yes,"[[""Kerosene"",300]]",
N/A ,Al Hol Camp 04,Hol032868,6,yes,"[[""Kerosene"",300]]",
N/A ,Al Hol Camp 04,Hol032862,2,yes,"[[""Kerosene"",300]]",
N/A ,Al Hol Camp 04,Hol025179,2,yes,"[[""Kerosene"",300]]",
