FamilyName,CampName,FamilyCaseID,FamilyNumber,Active,Balance,Note
N/A,Al Hol Camp 01,Hol015257A,9,yes,"[[""Kerosene"",300]]",this is new family
N/A,Al Hol Camp 01,Hol015257B,9,yes,"[[""Kerosene"",300]]",
N/A,Al Hol Camp 01,Hol007303A,8,yes,"[[""Kerosene"",300]]",
N/A,Al Hol Camp 01,Hol007303B,8,yes,"[[""Kerosene"",300]]",
N/A,Al Hol Camp 01,Hol014982A,9,yes,"[[""Kerosene"",300]]",
N/A,Al Hol Camp 01,Hol014982B,9,yes,"[[""Kerosene"",300]]",
N/A,Al Hol Camp 01,Hol007632,7,yes,"[[""Kerosene"",300]]",
N/A,Al Hol Camp 01,Hol007658,3,yes,"[[""Kerosene"",300]]",
N/A,Al Hol Camp 01,Hol011400,4,yes,"[[""Kerosene"",300]]",
N/A,Al Hol Camp 01,Hol012611,2,yes,"[[""Kerosene"",300]]",
N/A,Al Hol Camp 01,Hol014728,1,yes,"[[""Kerosene"",300]]",
N/A,Al Hol Camp 01,Hol016266,1,yes,"[[""Kerosene"",300]]",
N/A,Al Hol Camp 01,Hol016278,5,yes,"[[""Kerosene"",300]]",
N/A,Al Hol Camp 01,Hol016281,6,yes,"[[""Kerosene"",300]]",
N/A,Al Hol Camp 01,Hol016591,1,yes,"[[""Kerosene"",300]]",
N/A,Al Hol Camp 01,Hol016594,2,yes,"[[""Kerosene"",300]]",
N/A,Al Hol Camp 01,Hol016610,6,yes,"[[""Kerosene"",300]]",
N/A,Al Hol Camp 01,Hol016996,6,yes,"[[""Kerosene"",300]]",
N/A,Al Hol Camp 01,Hol017698,1,yes,"[[""Kerosene"",300]]",
N/A,Al Hol Camp 01,Hol018448,3,yes,"[[""Kerosene"",300]]",
N/A,Al Hol Camp 01,Hol018510,1,yes,"[[""Kerosene"",300]]",
N/A,Al Hol Camp 01,Hol024370,7,yes,"[[""Kerosene"",300]]",
